| Original                  | Replacement                                                                                                                                                                                                                                                              |
| ------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| parkisdemc.com            | No standalone community site found — likely a defunct HOA or small neighborhood page. Needs manual confirmation of what community this referred to.                                                                                                                      |
| redlionchasemc.com        | Red Lion Chase is a Toll Brothers neighborhood in Bear, DE. No dedicated HOA site exists — best available: neighborhoods.com/red-lion-chase-bear-deneighborhoods                                                                                                         |
| smyrnapubliclibrary.org   | duckcreek.lib.de.us — the Smyrna library is now Duck Creek Regional Library                                                                                                                                                                                              |
| brennanestateshoa.org     | brennanestatesassociation.org — same community, new domain                                                                                                                                                                                                               |
| kent.delaware.gov         | kentcountyde.gov — current Kent County Levy Court site                                                                                                                                                                                                                   |
| mdimarina.com             | summitnorthmarina.comsummitnorthmarina — Summit North Marina in Bear, DE on the C&D Canal is the closest Delaware marina match, or indianrivermarina.blogs.delaware.govindianrivermarina.blogs.delaware if this was meant to reference the state-run Indian River Marina |
| newcastlecountyparks.org  | newcastlede.gov/417/Parks — official NCC Parks page                                                                                                                                                                                                                      |
| redclay.k12.de.us         | redclayschools.com — Red Clay Consolidated School District                                                                                                                                                                                                               |
| rrta.com                  | dartfirststate.comdartfirststate — DART First State is Delaware's transit authority (RRTA was likely referencing this, not the Pennsylvania Red Rose system)                                                                                                             |
| smyrnahistory.org         | duckcreekhistoricalsociety.org — Duck Creek Historical Society, based in Smyrna                                                                                                                                                                                          |
| townofclaytonde.com       | clayton.delaware.gov — official Town of Clayton, DE site                                                                                                                                                                                                                 |
| villageofredlioncreek.com | No official HOA site found — best available info at activeadultsdelaware.com/neighborhood/village-of-red-lion-creekactiveadultsdelaware                                                                                                                                  |
